time,temperatura,entrada
55650,68.8,1
55800,69,1
55950,69,0
56100,69,1
56250,69.2,0
56400,69.2,1
56550,69.4,1
56700,69.4,0
56850,69.4,1
57000,69.6,1
57150,69.6,0
57300,69.6,1
57450,69.8,0
57600,69.8,1
57750,70,1
57900,70,0
58050,70,1
58200,70.1,1
58350,70.1,0
58500,70.1,1
58650,70.3,0
58800,70.3,1
58950,70.5,1
59100,70.5,0
59250,70.5,1
59400,70.7,1
59550,70.7,0
59700,70.7,1
59850,70.8,0
60000,70.8,1
60150,71,1
60300,71,0
60450,71,1
60600,71.1,0
60750,71.1,1
60900,71.2,1
61050,71.2,0
61200,71.2,1
61350,71.5,1
61500,71.5,0
61650,71.5,1
61800,71.7,0
61950,71.7,1
62100,71.8,1
62250,71.8,0
62400,71.8,1
62550,72,1
62700,72,0
62850,72,1
63000,72.2,0
63150,72.2,1
63300,72.4,1
63450,72.4,0
63600,72.4,1
63750,72.6,0
63900,72.6,1
64050,72.6,1
64200,72.7,0
64350,72.7,1
64500,72.9,1
64650,72.9,0
64800,72.9,1
64950,73.1,0
65100,73.1,1
65250,73.1,1
65400,73.3,0
65550,73.3,1
65700,73.5,1
65850,73.5,0
66000,73.5,1
66150,73.7,0
66300,73.7,1
66450,73.9,1
66600,73.9,0
66750,73.9,1
66900,74,0
67050,74,1
67200,74.1,1
67350,74.1,0
67500,74.1,1
67650,74.2,1
67800,74.2,0
67950,74.2,1
68100,74.4,0
68250,74.4,1
68400,74.4,1
68550,74.5,0
68700,74.5,1
68850,74.7,1
69000,74.7,0
69150,74.7,1
69300,74.8,1
69450,74.8,0
69600,74.8,1
69750,75,0
69900,75,1
70050,75.1,1
70200,75.1,0
70350,75.1,1
70500,75.3,0
70650,75.3,1
70800,75.3,1
70950,75.5,0
71100,75.5,1
71250,75.6,1
71400,75.6,0
71550,75.6,1
71700,75.8,0
71850,75.8,1
72000,76,1
72150,76,0
72300,76,1
72450,76.1,0
72600,76.1,1
72750,76.1,1
72900,76.3,0
73050,76.3,1
73200,76.5,1
73350,76.5,0
73500,76.5,1
73650,76.6,0
73800,76.6,1
73950,76.6,1
74100,76.7,0
74250,76.7,1
74400,76.9,1
74550,76.9,0
74700,76.9,1
74850,77.1,1
75000,77.1,0
75150,77.1,1
75300,77.3,0
75450,77.3,1
75600,77.5,1
75750,77.5,0
75900,77.5,1
76050,77.6,1
76200,77.6,0
76350,77.6,1
76500,77.8,0
76650,77.8,1
76800,77.8,1
76950,78,0
77100,78,1
77250,78.2,1
77400,78.2,0
77550,78.2,1
77700,78.3,0
77850,78.3,1
78000,78.5,1
78150,78.5,0
78300,78.5,1
78450,78.6,1
78600,78.6,0
78750,78.6,1
78900,78.8,0
79050,78.8,1
79200,79,1
79350,79,0
79500,79,1
79650,79.2,0
79800,79.2,1
79950,79.2,1
80100,79.3,0
80250,79.3,1
80400,79.5,1
80550,79.5,0
80700,79.5,1
80850,79.7,1
81000,79.7,0
81150,79.7,1
81300,79.8,0
81450,79.8,1
81600,79.9,1
81750,79.9,0
81900,79.9,0
82050,80.1,1
82200,80.1,0
82350,80.1,0
82500,80.2,0
82650,80.2,0
82800,80.4,0
82950,80.4,0
83100,80.4,0
83250,80.5,0
83400,80.5,0
83550,80.5,0
83700,80.6,0
83850,80.6,0
84000,80.8,0
84150,80.8,0
84300,80.8,0
84450,81,0
84600,81,0
84750,81,0
84900,81.2,0
85050,81.2,0
85200,81.4,0
85350,81.4,0
85500,81.4,0
85650,81.5,0
85800,81.5,0
85950,81.5,0
86100,81.7,0
86250,81.7,0
86400,81.8,0
86550,81.8,0
86700,81.8,0
86850,82,0
87000,82,0
87150,82,0
87300,82.1,0
87450,82.1,0
87600,82.1,0
87750,82.2,0
87900,82.2,0
88050,82.5,0
88200,82.5,0
88350,82.5,0
88500,82.6,0
88650,82.6,0
88800,82.8,0
88950,82.8,0
89100,82.8,0
89250,83,0
89400,83,0
89550,83,0
89700,83.1,0
89850,83.1,0
90000,83.2,0
90150,83.2,0
90300,83.2,0
90450,83.4,0
90600,83.4,0
90750,83.4,0
90900,83.5,0
91050,83.5,0
91200,83.6,0
91350,83.6,0
91500,83.6,0
91650,83.7,0
91800,83.7,0
91950,83.9,0
92100,83.9,0
92250,83.9,0
92400,84,0
92550,84,0
92700,84,0
92850,84.2,0
93000,84.2,0
93150,84.2,0
93300,84.2,0
93450,84.2,0
93600,84.4,0
93750,84.4,0
93900,84.4,0
94050,84.5,0
94200,84.5,0
94350,84.6,0
94500,84.6,0
94650,84.6,0
94800,84.7,0
94950,84.7,0
95100,84.7,0
95250,84.8,0
95400,84.8,0
95550,85,0
95700,85,0
95850,85,0
96000,85,0
96150,85,0
96300,85,0
96450,85.1,0
96600,85.1,0
96750,85.1,0
96900,85.3,0
97050,85.3,0
97200,85.3,0
97350,85.3,0
97500,85.3,0
97650,85.5,0
97800,85.5,0
97950,85.6,0
98100,85.6,0
98250,85.6,0
98400,85.6,0
98550,85.6,0
98700,85.6,0
98850,85.8,0
99000,85.8,0
99150,85.9,0
99300,85.9,0
99450,85.9,0
99600,86,0
99750,86,0
99900,86,0
100050,86,0
100200,86,0
100350,86.1,0
100500,86.1,0
100650,86.1,0
100800,86.2,0
100950,86.2,0
101100,86.2,0
101250,86.2,0
101400,86.2,0
101550,86.3,0
101700,86.3,0
101850,86.3,0
