time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,PWM
1970-1-1-0:41:12,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:12,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:12,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:13,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:13,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:14,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:14,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:14,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:15,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:15,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:15,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:16,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:16,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:16,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:17,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:17,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:17,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:18,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:18,32.0,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:19,31.9,31.6,1.619783,1.528915,TRUE,FALSE,0.0
1970-1-1-0:41:19,31.9,31.5,1.619783,1.528915,TRUE,TRUE,0.0
1970-1-1-0:41:19,32.0,31.5,1.619783,1.528915,TRUE,TRUE,0.0
1970-1-1-0:41:20,32.0,31.5,1.619783,1.528915,TRUE,TRUE,0.0
1970-1-1-0:41:20,31.9,31.5,1.619783,1.528915,TRUE,TRUE,0.0
1970-1-1-0:41:20,31.9,31.5,1.619783,1.528915,TRUE,TRUE,0.0
1970-1-1-0:41:21,32.0,31.5,1.619783,1.517422,TRUE,TRUE,0.0
1970-1-1-0:41:21,32.0,31.5,1.596844,1.540408,TRUE,TRUE,0.0
1970-1-1-0:41:22,32.0,31.5,1.562434,1.609366,TRUE,TRUE,0.0
1970-1-1-0:41:22,32.0,31.5,1.573904,1.655338,TRUE,TRUE,0.0
1970-1-1-0:41:22,32.0,31.5,1.642723,1.689817,TRUE,TRUE,0.0
1970-1-1-0:41:23,31.9,31.5,1.688603,1.724296,TRUE,TRUE,0.0
1970-1-1-0:41:23,31.9,31.5,1.711542,1.724296,TRUE,TRUE,0.0
1970-1-1-0:41:23,31.9,31.5,1.745952,1.724296,TRUE,TRUE,0.0
1970-1-1-0:41:24,31.9,31.5,1.757422,1.747282,TRUE,TRUE,0.0
1970-1-1-0:41:24,32.0,31.5,1.780362,1.747282,TRUE,TRUE,0.0
1970-1-1-0:41:24,32.0,31.5,1.791832,1.758775,TRUE,TRUE,0.0
1970-1-1-0:41:25,32.0,31.5,1.791832,1.781762,TRUE,TRUE,0.0
1970-1-1-0:41:25,32.0,31.5,1.803301,1.804748,TRUE,TRUE,0.0
1970-1-1-0:41:26,32.0,31.5,1.803301,1.827734,TRUE,TRUE,0.0
1970-1-1-0:41:26,32.0,31.5,1.814771,1.85072,TRUE,TRUE,0.0
1970-1-1-0:41:26,32.0,31.5,1.837711,1.781762,TRUE,TRUE,0.0
1970-1-1-0:41:27,31.9,31.5,1.860651,1.678324,TRUE,TRUE,0.0
1970-1-1-0:41:27,31.9,31.5,1.872121,1.666831,TRUE,TRUE,0.0
1970-1-1-0:41:27,31.9,31.5,1.791832,1.678324,TRUE,TRUE,0.0
1970-1-1-0:41:28,31.9,31.4,1.711542,1.712803,TRUE,TRUE,0.0
1970-1-1-0:41:28,31.9,31.4,1.723012,1.70131,TRUE,TRUE,0.0
1970-1-1-0:41:29,31.9,31.5,1.734482,1.689817,TRUE,TRUE,0.0
1970-1-1-0:41:29,31.9,31.5,1.768892,1.70131,TRUE,TRUE,0.0
1970-1-1-0:41:29,31.9,31.5,1.780362,1.747282,TRUE,TRUE,0.0
1970-1-1-0:41:30,31.9,31.5,1.757422,1.781762,TRUE,TRUE,0.0
1970-1-1-0:41:30,31.9,31.5,1.745952,1.793254,TRUE,TRUE,0.0
1970-1-1-0:41:31,31.9,31.5,1.734482,1.804748,TRUE,TRUE,0.0
1970-1-1-0:41:31,31.9,31.5,1.723012,1.804748,TRUE,TRUE,0.0
1970-1-1-0:41:31,31.9,31.5,1.734482,1.781762,TRUE,TRUE,0.0
1970-1-1-0:41:32,31.9,31.4,1.745952,1.758775,TRUE,TRUE,0.0
1970-1-1-0:41:32,31.9,31.4,1.734482,1.724296,TRUE,TRUE,0.0
1970-1-1-0:41:32,31.9,31.4,1.745952,1.70131,TRUE,TRUE,0.0
1970-1-1-0:41:33,31.9,31.4,1.723012,1.678324,TRUE,TRUE,0.0
1970-1-1-0:41:33,31.9,31.4,1.688603,1.655338,TRUE,TRUE,0.0
1970-1-1-0:41:33,31.9,31.4,1.665663,1.70131,TRUE,TRUE,0.0
1970-1-1-0:41:34,31.8,31.4,1.642723,1.712803,TRUE,TRUE,0.0
1970-1-1-0:41:34,31.8,31.4,1.677133,1.689817,TRUE,TRUE,0.0
1970-1-1-0:41:35,31.9,31.4,1.688603,1.70131,TRUE,TRUE,0.0
1970-1-1-0:41:35,31.9,31.4,1.700073,1.70131,TRUE,TRUE,0.0
1970-1-1-0:41:35,31.9,31.4,1.723012,1.70131,TRUE,TRUE,0.0
1970-1-1-0:41:36,31.9,31.4,1.745952,1.70131,TRUE,TRUE,0.0
1970-1-1-0:41:36,31.8,31.4,1.745952,1.689817,TRUE,TRUE,0.0
1970-1-1-0:41:36,31.8,31.4,1.768892,1.724296,TRUE,TRUE,0.0
1970-1-1-0:41:37,31.9,31.4,1.814771,1.758775,TRUE,TRUE,0.0
1970-1-1-0:41:37,31.9,31.4,1.860651,1.747282,TRUE,TRUE,0.0
1970-1-1-0:41:38,31.8,31.4,1.883591,1.735789,TRUE,TRUE,0.0
1970-1-1-0:41:38,31.8,31.4,1.860651,1.70131,TRUE,TRUE,0.0
1970-1-1-0:41:38,31.8,31.4,1.826241,1.735789,TRUE,TRUE,0.0
1970-1-1-0:41:39,31.8,31.4,1.895061,1.747282,TRUE,TRUE,0.0
1970-1-1-0:41:39,31.8,31.4,2.032699,1.770268,TRUE,TRUE,0.0
1970-1-1-0:41:39,31.8,31.4,1.96388,1.770268,TRUE,TRUE,0.0
1970-1-1-0:41:40,31.8,31.4,1.860651,1.747282,TRUE,TRUE,0.0
1970-1-1-0:41:40,31.8,31.4,1.837711,1.678324,TRUE,TRUE,0.0
1970-1-1-0:41:41,31.8,31.4,1.803301,1.862213,TRUE,TRUE,0.0
1970-1-1-0:41:41,31.8,31.4,1.791832,1.908185,TRUE,TRUE,0.0
1970-1-1-0:41:41,31.8,31.4,1.734482,1.827734,TRUE,TRUE,0.0
