time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y
2015-8-27 11:52:49,63.1,150.9,0.014,0.000342
2015-8-27 11:52:51,63.1,150.9,0.014,0.000342
2015-8-27 11:52:52,63,150.9,0.014,0.000342
2015-8-27 11:52:54,63,150.9,0.014,0.000342
2015-8-27 11:52:55,63,150.9,0.014,0.000342
2015-8-27 11:52:57,63,150.9,0.014,0.000342
2015-8-27 11:52:59,63,150.9,0.014,0.000342
2015-8-27 11:53:0,63,150.8,0.014,0.000342
2015-8-27 11:53:2,63,150.8,0.014,0.000342
2015-8-27 11:53:3,63,150.8,0.014,0.000342
2015-8-27 11:53:5,63,150.7,0.0254699,0.000342
2015-8-27 11:53:7,63,150.7,0.014,0.000342
2015-8-27 11:53:8,63,150.6,0.014,0.000342
2015-8-27 11:53:10,63,150.6,0.885711,0.000342
2015-8-27 11:53:11,63,150.5,0.94306,0.000342
2015-8-27 11:53:13,63,150.4,1.02335,0.000342
2015-8-27 11:53:15,63,150.4,1.103639,0.000342
2015-8-27 11:53:16,63,150.3,1.149518,0.000342
2015-8-27 11:53:18,63,150.3,1.218338,0.000342
2015-8-27 11:53:19,63,150.2,1.310097,0.000342
2015-8-27 11:53:21,63,150.1,1.401856,0.000342
2015-8-27 11:53:23,63,150.1,1.482145,0.000342
2015-8-27 11:53:24,63,150,1.585374,0.0233281
2015-8-27 11:53:26,63,150,1.665663,0.94277
2015-8-27 11:53:27,63,149.9,1.631253,1.034715
2015-8-27 11:53:29,63,149.9,1.585374,1.161138
2015-8-27 11:53:31,63,149.8,1.470675,1.264575
2015-8-27 11:53:32,63,149.8,1.390386,1.368012
2015-8-27 11:53:34,63,149.8,1.390386,1.448464
2015-8-27 11:53:35,63,149.8,1.333036,1.528915
2015-8-27 11:53:37,63,149.7,1.218338,1.632352
2015-8-27 11:53:39,63,149.8,1.115109,1.643845
2015-8-27 11:53:40,63,149.8,1.046289,1.574887
2015-8-27 11:53:42,63,149.8,0.966,1.494436
2015-8-27 11:53:43,63,149.9,0.633374,1.413985
2015-8-27 11:53:45,63,149.9,0.014,1.402492
2015-8-27 11:53:47,63,150,0.014,1.368012
2015-8-27 11:53:48,63,150.1,0.014,1.333533
2015-8-27 11:53:50,63,150.2,0.014,1.20711
2015-8-27 11:53:51,63,150.3,0.014,1.138152
2015-8-27 11:53:53,63,150.4,0.014,1.080687
2015-8-27 11:53:55,63,150.6,0.014,1.034715
2015-8-27 11:53:56,62.9,150.7,0.014,0.885305
2015-8-27 11:53:58,62.9,150.9,0.014,0.138258
2015-8-27 11:53:59,62.9,151,0.014,0.000342
2015-8-27 11:54:1,62.9,151.2,0.014,0.000342
2015-8-27 11:54:3,62.9,151.2,0.014,0.000342
2015-8-27 11:54:4,62.9,151.4,0.014,0.000342
2015-8-27 11:54:6,62.9,151.5,0.621904,0.000342
2015-8-27 11:54:7,62.9,151.7,0.966,0.000342
2015-8-27 11:54:9,62.9,151.8,1.01188,0.000342
2015-8-27 11:54:11,63,151.9,1.01188,0.000342
2015-8-27 11:54:12,63,152,1.034819,0.000342
2015-8-27 11:54:14,63,152.1,1.00041,0.850826
2015-8-27 11:54:15,63,152.2,1.02335,0.965756
2015-8-27 11:54:17,63,152.3,1.01188,1.000236
2015-8-27 11:54:19,62.9,152.3,0.0484096,1.046208
2015-8-27 11:54:20,62.9,152.4,0.014,1.034715
2015-8-27 11:54:22,62.9,152.5,0.014,1.057701
2015-8-27 11:54:23,62.9,152.5,0.014,1.115166
2015-8-27 11:54:25,62.9,152.5,0.014,1.080687
2015-8-27 11:54:27,62.9,152.6,0.014,1.09218
2015-8-27 11:54:28,63,152.6,0.0369398,1.080687
2015-8-27 11:54:30,62.9,152.6,0.426916,0.494542
2015-8-27 11:54:31,62.9,152.6,0.97747,0.000342
2015-8-27 11:54:33,62.9,152.6,1.069229,0.000342
2015-8-27 11:54:35,62.9,152.6,1.160988,0.000342
2015-8-27 11:54:36,62.9,152.6,1.252747,0.000342
2015-8-27 11:54:38,62.9,152.5,1.367446,0.000342
2015-8-27 11:54:39,63,152.4,1.447735,0.437077
2015-8-27 11:54:41,62.9,152.4,1.470675,0.896798
2015-8-27 11:54:43,62.9,152.3,1.482145,1.023222
