time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,PWM
1970-1-1-0:14:4,46.0,46.5,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:4,46.0,46.5,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:4,46.0,46.5,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:5,46.0,46.5,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:5,46.0,46.5,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:5,46.0,46.5,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:6,46.0,46.5,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:6,46.0,46.5,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:7,46.0,46.5,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:7,46.0,46.5,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:7,46.0,46.5,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:8,46.0,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:8,46.0,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:8,46.0,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:9,46.0,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:9,46.0,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:10,45.9,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:10,45.9,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:10,45.9,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:11,45.9,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:11,45.9,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:11,45.9,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:12,45.9,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:12,45.9,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:13,45.9,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:13,45.9,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:13,45.9,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:14,45.9,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
1970-1-1-0:14:14,45.9,46.4,0.014,3.42e-4,TRUE,FALSE,0.0
