time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,RPM EXTR,RPM TRAC2015-4-8-11:12:27,30.9,31.4,1.138048,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:28,30.9,31.4,1.034819,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:30,30.9,31.4,0.908651,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:32,30.9,31.4,0.920121,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:33,30.9,31.4,1.367446,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:35,30.9,31.4,1.367446,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:36,30.8,31.4,0.98894,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:38,30.8,31.4,0.920121,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:40,30.8,31.4,1.103639,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:41,30.8,31.3,1.436265,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:43,30.8,31.3,1.229807,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:44,30.8,31.3,0.95453,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:46,30.8,31.3,0.920121,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:48,30.8,31.3,1.333036,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:49,30.8,31.3,1.275687,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:51,30.8,31.3,0.98894,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:52,30.8,31.3,0.95453,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:54,30.8,31.3,0.966,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:56,30.8,31.3,1.321566,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:57,30.8,31.3,1.172458,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:12:59,30.8,31.4,0.95453,3.42e-4,TRUE,TRUE,0.0,0.0
2015-4-8-11:13:0,30.8,31.4,0.98894,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:2,30.8,31.4,1.034819,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:4,30.8,31.5,1.206868,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:5,30.8,31.6,1.149518,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:7,30.8,31.6,1.00041,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:8,30.8,31.7,0.885711,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:10,30.8,31.8,0.98894,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:12,30.8,31.9,1.310097,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:13,30.8,32.0,1.115109,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:15,30.7,32.1,0.94306,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:16,30.7,32.2,0.862771,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:18,30.7,32.4,1.298627,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:20,30.7,32.5,1.252747,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:21,30.7,32.7,0.908651,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:23,30.7,32.9,0.908651,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:24,30.7,33.1,1.080699,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:26,30.7,33.2,1.447735,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:28,30.7,33.5,1.103639,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:29,30.7,33.7,0.897181,3.42e-4,TRUE,TRUE,0.0,2.219072
2015-4-8-11:13:31,30.7,33.9,1.00041,3.42e-4,TRUE,TRUE,0.0,2.219072
