time,PARO,S por vuelta de ex
2015-21-7-11:38:30,TRUE,T#30s1ms
2015-21-7-11:38:32,TRUE,T#30s1ms
2015-21-7-11:38:33,TRUE,T#30s1ms
2015-21-7-11:38:34,TRUE,T#30s1ms
2015-21-7-11:38:36,TRUE,T#30s1ms
2015-21-7-11:38:37,TRUE,T#30s1ms
2015-21-7-11:38:39,TRUE,T#30s1ms
2015-21-7-11:38:40,TRUE,T#30s1ms
2015-21-7-11:38:41,TRUE,T#30s1ms
2015-21-7-11:38:43,TRUE,T#30s1ms
2015-21-7-11:38:44,TRUE,T#30s1ms
2015-21-7-11:38:46,TRUE,T#29s999ms
2015-21-7-11:38:47,TRUE,T#29s999ms
2015-21-7-11:38:48,TRUE,T#29s999ms
2015-21-7-11:38:50,TRUE,T#29s999ms
2015-21-7-11:38:51,TRUE,T#29s999ms
2015-21-7-11:38:53,TRUE,T#29s999ms
2015-21-7-11:38:54,TRUE,T#29s999ms
2015-21-7-11:38:55,TRUE,T#29s999ms
2015-21-7-11:38:57,TRUE,T#29s999ms
2015-21-7-11:38:58,TRUE,T#29s999ms
2015-21-7-11:39:0,TRUE,T#29s999ms
2015-21-7-11:39:1,TRUE,T#29s999ms
2015-21-7-11:39:2,TRUE,T#29s999ms
2015-21-7-11:39:4,TRUE,T#29s999ms
2015-21-7-11:39:5,TRUE,T#29s999ms
2015-21-7-11:39:7,TRUE,T#29s999ms
2015-21-7-11:39:8,TRUE,T#29s999ms
2015-21-7-11:39:9,TRUE,T#29s999ms
2015-21-7-11:39:11,TRUE,T#29s999ms
2015-21-7-11:39:12,TRUE,T#29s999ms
2015-21-7-11:39:14,TRUE,T#29s999ms
2015-21-7-11:39:15,TRUE,T#29s999ms
2015-21-7-11:39:16,TRUE,T#30s
2015-21-7-11:39:18,TRUE,T#30s
2015-21-7-11:39:19,TRUE,T#30s
2015-21-7-11:39:21,TRUE,T#30s
2015-21-7-11:39:22,TRUE,T#30s
2015-21-7-11:39:23,TRUE,T#30s
2015-21-7-11:39:25,TRUE,T#30s
2015-21-7-11:39:26,TRUE,T#30s
2015-21-7-11:39:28,TRUE,T#30s
2015-21-7-11:39:29,TRUE,T#30s
2015-21-7-11:39:30,TRUE,T#30s
2015-21-7-11:39:32,TRUE,T#30s
2015-21-7-11:39:33,TRUE,T#30s
2015-21-7-11:39:35,TRUE,T#30s
2015-21-7-11:39:36,TRUE,T#30s
2015-21-7-11:39:37,TRUE,T#30s
2015-21-7-11:39:39,TRUE,T#30s
2015-21-7-11:39:40,TRUE,T#30s
2015-21-7-11:39:42,TRUE,T#30s
2015-21-7-11:39:43,TRUE,T#30s
2015-21-7-11:39:44,TRUE,T#29s
2015-21-7-11:39:46,TRUE,T#29s
2015-21-7-11:39:47,TRUE,T#29s
2015-21-7-11:39:49,TRUE,T#29s
2015-21-7-11:39:50,TRUE,T#29s
2015-21-7-11:39:51,TRUE,T#29s
2015-21-7-11:39:53,TRUE,T#29s
2015-21-7-11:39:54,TRUE,T#29s
2015-21-7-11:39:56,TRUE,T#29s
2015-21-7-11:39:57,TRUE,T#29s
2015-21-7-11:39:58,TRUE,T#29s
2015-21-7-11:40:0,TRUE,T#29s
2015-21-7-11:40:1,TRUE,T#29s
2015-21-7-11:40:3,TRUE,T#29s
2015-21-7-11:40:4,TRUE,T#29s
2015-21-7-11:40:5,TRUE,T#29s
2015-21-7-11:40:7,TRUE,T#29s
2015-21-7-11:40:8,TRUE,T#29s
2015-21-7-11:40:10,TRUE,T#29s
2015-21-7-11:40:11,TRUE,T#29s
2015-21-7-11:40:12,TRUE,T#29s
2015-21-7-11:40:14,TRUE,T#29s
2015-21-7-11:40:15,TRUE,T#30s1ms
2015-21-7-11:40:17,TRUE,T#30s1ms
2015-21-7-11:40:18,TRUE,T#30s1ms
2015-21-7-11:40:19,TRUE,T#30s1ms
2015-21-7-11:40:21,TRUE,T#30s1ms
2015-21-7-11:40:22,TRUE,T#30s1ms
2015-21-7-11:40:24,TRUE,T#30s1ms
2015-21-7-11:40:25,TRUE,T#30s1ms
2015-21-7-11:40:26,TRUE,T#30s1ms
2015-21-7-11:40:28,TRUE,T#30s1ms
2015-21-7-11:40:29,TRUE,T#30s1ms
2015-21-7-11:40:31,TRUE,T#30s1ms
2015-21-7-11:40:32,TRUE,T#30s1ms
2015-21-7-11:40:33,TRUE,T#30s1ms
2015-21-7-11:40:35,TRUE,T#30s1ms
2015-21-7-11:40:36,TRUE,T#30s1ms
2015-21-7-11:40:38,TRUE,T#30s1ms
2015-21-7-11:40:39,TRUE,T#30s1ms
2015-21-7-11:40:40,TRUE,T#30s1ms
2015-21-7-11:40:42,TRUE,T#30s1ms
2015-21-7-11:40:43,TRUE,T#30s1ms
2015-21-7-11:40:45,TRUE,T#29s999ms
2015-21-7-11:40:46,TRUE,T#29s999ms
2015-21-7-11:40:47,TRUE,T#29s999ms
2015-21-7-11:40:49,TRUE,T#29s999ms
2015-21-7-11:40:50,TRUE,T#29s999ms
2015-21-7-11:40:52,TRUE,T#29s999ms
2015-21-7-11:40:53,TRUE,T#29s999ms
2015-21-7-11:40:54,TRUE,T#29s999ms
2015-21-7-11:40:56,TRUE,T#29s999ms
2015-21-7-11:40:57,TRUE,T#29s999ms
2015-21-7-11:40:59,TRUE,T#29s999ms
2015-21-7-11:41:0,TRUE,T#29s999ms
2015-21-7-11:41:1,TRUE,T#29s999ms
2015-21-7-11:41:3,TRUE,T#29s999ms
2015-21-7-11:41:4,TRUE,T#29s999ms
2015-21-7-11:41:6,TRUE,T#29s999ms
2015-21-7-11:41:7,TRUE,T#29s999ms
2015-21-7-11:41:8,TRUE,T#29s999ms
2015-21-7-11:41:10,TRUE,T#29s999ms
2015-21-7-11:41:11,TRUE,T#29s999ms
2015-21-7-11:41:13,TRUE,T#29s999ms
2015-21-7-11:41:14,TRUE,T#29s
2015-21-7-11:41:15,TRUE,T#29s
2015-21-7-11:41:17,TRUE,T#29s
2015-21-7-11:41:18,TRUE,T#29s
2015-21-7-11:41:20,TRUE,T#29s
