time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,VELOCIDAD
2015-13-7-16:5:44,61.5,137,0.0598795,0.000342,TRUE,TRUE,0.75
2015-13-7-16:5:45,61.5,136.8,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:5:46,61.5,136.7,0.0254699,0.000342,TRUE,TRUE,0.75
2015-13-7-16:5:48,61.6,136.5,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:5:49,61.5,136.5,0.0484096,0.000342,TRUE,TRUE,0.75
2015-13-7-16:5:51,61.5,136.3,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:5:52,61.5,136.2,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:5:53,61.6,136.2,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:5:55,61.6,136,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:5:56,61.6,135.9,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:5:58,61.6,135.9,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:5:59,61.6,135.8,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:6:0,61.6,135.6,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:6:2,61.6,135.6,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:6:3,61.6,135.5,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:6:5,61.6,135.5,0.0254699,0.000342,TRUE,TRUE,0.75
2015-13-7-16:6:6,61.6,135.5,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:6:7,61.6,135.4,0.0598795,0.000342,TRUE,TRUE,0.75
2015-13-7-16:6:9,61.6,135.2,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:6:10,61.7,135.1,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:6:12,61.6,135.1,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:6:13,61.6,135.2,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:6:14,61.6,135.1,0.0369398,0.000342,TRUE,TRUE,0.75
2015-13-7-16:6:16,61.7,135.1,0.014,0.000342,TRUE,TRUE,0.75
2015-13-7-16:6:17,61.7,135,0.014,0.000342,TRUE,TRUE,0.75
