time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MEDIA,MARCHA,PARO,VELOCIDAD,,
2015-14-7-9:51:5,60.5,134.6,1.642723,1.517422,1.8092736416,TRUE,FALSE,0.75,,
2015-14-7-9:51:7,60.5,134.5,1.528024,1.666831,1.8153148768,TRUE,FALSE,0.75,,
2015-14-7-9:51:8,60.5,134.5,1.482145,1.827734,1.8887668625,TRUE,FALSE,0.75,,
2015-14-7-9:51:9,60.5,134.5,1.562434,1.839227,1.8080063506,TRUE,FALSE,0.75,,
2015-14-7-9:51:11,60.5,134.4,1.734482,1.655338,1.7384283716,TRUE,FALSE,0.75,,
2015-14-7-9:51:12,60.5,134.4,1.860651,1.517422,1.7872203354,TRUE,FALSE,0.75,,
2015-14-7-9:51:14,60.5,134.4,1.883591,1.459957,1.7877922312,TRUE,FALSE,0.75,,
2015-14-7-9:51:15,60.5,134.4,2.101518,1.551901,1.8267095,TRUE,FALSE,0.75,,
2015-14-7-9:51:17,60.6,134.5,2.239157,1.712803,1.97598,TRUE,FALSE,0.75,,
2015-14-7-9:51:18,60.6,134.6,2.204747,1.827734,2.0162405,TRUE,FALSE,0.75,,
2015-14-7-9:51:19,60.6,134.7,2.135928,1.862213,1.9990705,TRUE,FALSE,0.75,,
2015-14-7-9:51:21,60.6,134.7,2.032699,2.023115,2.027907,TRUE,FALSE,0.75,,
2015-14-7-9:51:22,60.6,134.7,1.92947,2.218497,2.0739835,TRUE,FALSE,0.75,,
2015-14-7-9:51:24,60.6,134.7,1.837711,2.207004,2.0223575,TRUE,FALSE,0.75,,
2015-14-7-9:51:25,60.6,134.7,1.780362,2.149539,1.9649505,TRUE,FALSE,0.75,,
2015-14-7-9:51:26,60.5,134.7,1.734482,2.034608,1.884545,TRUE,FALSE,0.75,,
2015-14-7-9:51:28,60.5,134.8,1.745952,1.931171,1.8385615,TRUE,FALSE,0.75,,
2015-14-7-9:51:29,60.5,134.8,1.745952,1.839227,1.7925895,TRUE,FALSE,0.75,,
2015-14-7-9:51:31,60.5,134.8,1.757422,1.770268,1.763845,TRUE,FALSE,0.75,,
2015-14-7-9:51:32,60.5,134.9,1.780362,1.747282,1.763822,TRUE,FALSE,0.75,,
2015-14-7-9:51:33,60.5,134.8,1.849181,1.758775,1.803978,TRUE,FALSE,0.75,,
2015-14-7-9:51:35,60.5,134.8,1.883591,1.781762,1.8326765,TRUE,FALSE,0.75,,
2015-14-7-9:51:36,60.5,134.8,1.918,1.816241,1.8671205,TRUE,FALSE,0.75,,
2015-14-7-9:51:38,60.5,134.8,1.95241,1.839227,1.8958185,TRUE,FALSE,0.75,,
2015-14-7-9:51:39,60.5,134.9,1.97535,1.908185,1.9417675,TRUE,FALSE,0.75,,
2015-14-7-9:51:40,60.5,135,1.96388,1.942664,1.953272,TRUE,FALSE,0.75,,
2015-14-7-9:51:42,60.6,135,2.009759,1.96565,1.9877045,TRUE,TRUE,0.75,,
2015-14-7-9:51:43,60.6,135.1,2.032699,2.000129,2.016414,TRUE,TRUE,0.75,,
2015-14-7-9:51:45,60.6,135,2.055639,2.000129,2.027884,TRUE,TRUE,0.75,,
2015-14-7-9:51:46,60.6,134.9,2.090049,2.011622,2.0508355,TRUE,TRUE,0.75,,
2015-14-7-9:51:47,60.6,134.9,2.158868,2.057594,2.108231,TRUE,TRUE,0.75,,
2015-14-7-9:51:49,60.6,134.9,2.193277,2.08058,2.1369285,TRUE,TRUE,0.75,,
2015-14-7-9:51:50,60.5,135.1,2.170338,2.115059,2.1426985,TRUE,TRUE,0.75,,
2015-14-7-9:51:52,60.5,135.2,2.135928,2.115059,2.1254935,TRUE,TRUE,0.75,,
2015-14-7-9:51:53,60.6,135.3,2.090049,2.149539,2.119794,TRUE,TRUE,0.75,,
2015-14-7-9:51:54,60.5,135.3,2.055639,2.195511,2.125575,TRUE,TRUE,0.75,,
2015-14-7-9:51:56,60.5,135.3,2.021229,2.161031,2.09113,TRUE,TRUE,0.75,,
2015-14-7-9:51:57,60.5,135.3,2.009759,2.115059,2.062409,TRUE,TRUE,0.75,,
2015-14-7-9:51:59,60.5,135.3,1.998289,2.092073,2.045181,TRUE,TRUE,0.75,,
2015-14-7-9:52:0,60.4,135.3,1.97535,2.057594,2.016472,TRUE,TRUE,0.75,,
2015-14-7-9:52:1,60.4,135.5,1.90653,2.023115,1.9648225,TRUE,TRUE,0.75,,
2015-14-7-9:52:3,60.4,135.6,1.872121,2.011622,1.9418715,TRUE,TRUE,0.75,,
2015-14-7-9:52:4,60.4,135.7,1.860651,2.000129,1.93039,TRUE,TRUE,0.75,,
2015-14-7-9:52:6,60.4,135.8,1.837711,1.977143,1.907427,TRUE,TRUE,0.75,,
2015-14-7-9:52:7,60.4,135.9,1.826241,1.931171,1.878706,TRUE,TRUE,5,,
2015-14-7-9:52:8,60.4,136,1.872121,1.908185,1.890153,TRUE,TRUE,5,,
2015-14-7-9:52:10,60.4,136,1.998289,1.885199,1.941744,TRUE,TRUE,5,,
2015-14-7-9:52:11,60.4,136,2.147398,1.931171,2.0392845,TRUE,TRUE,5,,
2015-14-7-9:52:13,60.5,136,2.135928,2.000129,2.0680285,TRUE,TRUE,5,,
2015-14-7-9:52:14,60.5,136,2.112988,2.161031,2.1370095,TRUE,TRUE,5,,
