time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MEDIA,MARCHA,PARO,VELOCIDAD
2015-14-7 9:57:57,61.1,134.5,1.493615,1.459957,1.476786,TRUE,TRUE,0.75
2015-14-7 9:57:59,61.1,134.4,1.482145,1.47145,1.4767975,TRUE,TRUE,0.75
2015-14-7 9:58:0,61.1,134.4,1.482145,1.47145,1.4767975,TRUE,TRUE,0.75
2015-14-7 9:58:1,61.1,134.5,1.493615,1.505929,1.499772,TRUE,TRUE,0.75
2015-14-7 9:58:3,61.1,134.5,1.516554,1.494436,1.505495,TRUE,TRUE,0.75
2015-14-7 9:58:4,61.2,134.5,1.585374,1.482943,1.5341585,TRUE,TRUE,0.75
2015-14-7 9:58:6,61.2,134.4,1.619783,1.494436,1.5571095,TRUE,TRUE,0.75
2015-14-7 9:58:7,61.2,134.3,1.677133,1.482943,1.580038,TRUE,TRUE,0.75
2015-14-7 9:58:8,61.2,134.2,1.757422,1.482943,1.6201825,TRUE,TRUE,0.75
2015-14-7 9:58:10,61.2,134.1,1.791832,1.540408,1.66612,TRUE,TRUE,0.75
2015-14-7 9:58:11,61.2,133.9,1.872121,1.58638,1.7292505,TRUE,TRUE,0.75
2015-14-7 9:58:13,61.2,133.9,1.895061,1.632352,1.7637065,TRUE,TRUE,0.75
2015-14-7 9:58:14,61.2,133.9,1.895061,1.678324,1.7866925,TRUE,TRUE,0.75
2015-14-7 9:58:15,61.2,134,1.849181,1.747282,1.7982315,TRUE,TRUE,0.75
2015-14-7 9:58:17,61.2,134,1.837711,1.816241,1.826976,TRUE,TRUE,0.75
2015-14-7 9:58:18,61.2,134.1,1.849181,1.85072,1.8499505,TRUE,TRUE,0.75
2015-14-7 9:58:20,61.2,134.2,1.860651,1.862213,1.861432,TRUE,TRUE,0.75
2015-14-7 9:58:21,61.2,134.2,1.883591,1.827734,1.8556625,TRUE,TRUE,0.75
2015-14-7 9:58:22,61.2,134.2,1.883591,1.804748,1.8441695,TRUE,TRUE,0.75
2015-14-7 9:58:24,61.2,134.2,1.90653,1.827734,1.867132,TRUE,TRUE,0.75
2015-14-7 9:58:25,61.2,134.3,1.895061,1.839227,1.867144,TRUE,TRUE,0.75
2015-14-7 9:58:27,61.2,134.4,1.883591,1.839227,1.861409,TRUE,TRUE,0.75
