time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,VELOCIDAD
2015-20-7-11:4:35,60.7,140.9,1.68,1.62,TRUE,FALSE,0.5
2015-20-7-11:4:37,60.8,140.9,1.61,1.71,TRUE,FALSE,0.5
2015-20-7-11:4:38,60.9,140.9,1.49,1.75,TRUE,FALSE,0.5
2015-20-7-11:4:39,60.9,140.8,1.37,1.72,TRUE,FALSE,0.5
2015-20-7-11:4:41,60.9,140.8,1.24,1.63,TRUE,FALSE,0.5
2015-20-7-11:4:42,61,140.7,1.24,1.57,TRUE,FALSE,0.5
2015-20-7-11:4:44,61,140.6,1.40,1.47,TRUE,FALSE,0.5
2015-20-7-11:4:45,61,140.6,1.31,1.32,TRUE,FALSE,0.5
2015-20-7-11:4:46,61,140.5,1.26,1.20,TRUE,FALSE,0.5
2015-20-7-11:4:48,61,140.3,1.34,1.23,TRUE,FALSE,0.5
2015-20-7-11:4:49,61,140.3,1.45,1.43,TRUE,FALSE,0.5
2015-20-7-11:4:51,61,140.2,1.67,1.30,TRUE,FALSE,0.5
2015-20-7-11:4:52,61,140.1,1.91,1.22,TRUE,FALSE,0.5
2015-20-7-11:4:53,61,140.2,1.80,1.25,TRUE,FALSE,0.5
2015-20-7-11:4:55,61,140,1.70,1.26,TRUE,FALSE,0.5
2015-20-7-11:4:56,61,139.9,1.67,1.40,TRUE,FALSE,0.5
2015-20-7-11:4:58,61,139.8,1.70,1.64,TRUE,FALSE,0.5
2015-20-7-11:4:59,61,139.8,1.56,1.91,TRUE,FALSE,0.5
2015-20-7-11:5:0,61,139.7,1.53,1.82,TRUE,FALSE,0.5
2015-20-7-11:5:2,61,139.6,1.54,1.71,TRUE,FALSE,0.5
2015-20-7-11:5:3,61,139.5,1.55,1.82,TRUE,FALSE,0.5
2015-20-7-11:5:5,61,139.4,1.73,1.53,TRUE,FALSE,0.5
2015-20-7-11:5:6,61,139.3,1.68,1.49,TRUE,FALSE,0.5
2015-20-7-11:5:7,61,139.2,1.64,1.49,TRUE,FALSE,0.5
2015-20-7-11:5:9,61,139.1,1.57,1.53,TRUE,FALSE,0.5
2015-20-7-11:5:10,61,139,1.51,1.67,TRUE,FALSE,0.5
2015-20-7-11:5:12,61,138.9,1.49,1.69,TRUE,FALSE,0.5
2015-20-7-11:5:13,61,138.9,1.42,1.70,TRUE,FALSE,0.5
2015-20-7-11:5:14,61,138.9,1.46,1.63,TRUE,FALSE,0.5
2015-20-7-11:5:16,61.1,138.9,1.34,1.56,TRUE,FALSE,0.5
2015-20-7-11:5:17,61.1,138.9,1.38,1.49,TRUE,FALSE,0.5
2015-20-7-11:5:19,61.1,138.9,1.60,1.45,TRUE,FALSE,0.5
2015-20-7-11:5:20,61.1,139,1.34,1.49,TRUE,FALSE,0.5
2015-20-7-11:5:21,61.1,139,1.24,1.33,TRUE,FALSE,0.5
2015-20-7-11:5:23,61.1,139.1,1.36,1.30,TRUE,FALSE,0.5
2015-20-7-11:5:24,61.1,139.3,1.30,1.29,TRUE,FALSE,0.5
2015-20-7-11:5:26,61.1,139.3,1.40,1.25,TRUE,FALSE,0.5
2015-20-7-11:5:27,61.1,139.3,1.42,1.24,TRUE,FALSE,0.5
2015-20-7-11:5:28,61.1,139.4,1.46,1.32,TRUE,FALSE,0.5
2015-20-7-11:5:30,61.1,139.5,1.59,1.35,TRUE,FALSE,0.5
2015-20-7-11:5:31,61.1,139.5,1.72,1.46,TRUE,FALSE,0.5
2015-20-7-11:5:33,61.2,139.6,1.77,1.49,TRUE,FALSE,0.5
2015-20-7-11:5:34,61.2,139.7,1.77,1.49,TRUE,FALSE,0.5
2015-20-7-11:5:35,61.2,139.8,1.78,1.49,TRUE,FALSE,0.5
2015-20-7-11:5:37,61.2,139.9,1.78,1.48,TRUE,FALSE,0.5
2015-20-7-11:5:38,61.2,140,1.78,1.48,TRUE,FALSE,0.5
2015-20-7-11:5:40,61.2,140,1.77,1.48,TRUE,FALSE,0.5
2015-20-7-11:5:41,61.2,140,1.77,1.48,TRUE,FALSE,0.5
2015-20-7-11:5:42,61.2,140,1.78,1.49,TRUE,FALSE,0.5
2015-20-7-11:5:44,61.2,140,1.78,1.48,TRUE,FALSE,0.5
