bq,formfutura,filastruder
1.73,1.75,1.64
1.73,1.76,1.48
1.75,1.75,1.40
1.75,1.75,1.34
1.75,1.75,1.30
1.76,1.72,1.24
1.76,1.73,1.36
1.77,1.73,1.65
1.76,1.73,1.70
1.76,1.73,1.68
1.76,1.72,1.64
1.77,1.7,1.65
1.77,1.73,1.62
1.77,1.72,1.62
1.77,1.71,1.59
1.77,1.71,1.57
1.77,1.72,1.60
1.76,1.71,1.57
1.76,1.71,1.60
1.76,1.71,1.61
1.77,1.72,1.61
1.77,1.73,1.62
1.77,1.73,1.64
1.78,1.72,1.73
1.77,1.73,1.85
1.77,1.71,1.91
