time,Tmp Husillo [C],Tmp Nozzle [C],Diametro X [mm],Diametro Y [mm],MARCHA,PARO,RPM
2015-20-7-10:6:11,24,24.1,1.78,1.75,TRUE,FALSE,3.219
2015-20-7-10:6:13,24,24.1,1.77,1.76,TRUE,FALSE,3.219
2015-20-7-10:6:14,24,24.1,1.77,1.75,TRUE,FALSE,3.219
2015-20-7-10:6:16,24,24.1,1.77,1.76,TRUE,FALSE,3.219
2015-20-7-10:6:17,24,24.1,1.77,1.76,TRUE,FALSE,3.219
2015-20-7-10:6:18,24,24.1,1.77,1.75,TRUE,FALSE,3.219
2015-20-7-10:6:20,24,24.1,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:6:21,24,24.1,1.72,1.75,TRUE,FALSE,3.219
2015-20-7-10:6:23,24,24.1,1.76,1.74,TRUE,FALSE,3.219
2015-20-7-10:6:24,24,24.1,1.77,1.75,TRUE,FALSE,3.219
2015-20-7-10:6:25,24,24.1,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:6:27,24,24.1,1.77,1.75,TRUE,FALSE,3.219
2015-20-7-10:6:28,24,24.1,1.77,1.75,TRUE,FALSE,3.219
2015-20-7-10:6:30,24,24.1,1.77,1.75,TRUE,FALSE,3.219
2015-20-7-10:6:31,24,24.1,1.77,1.75,TRUE,FALSE,3.219
2015-20-7-10:6:32,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:6:34,24,24.1,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:6:35,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:6:37,24,24.1,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:6:38,24,24.1,1.76,1.72,TRUE,FALSE,3.219
2015-20-7-10:6:39,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:6:41,24,24.2,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:6:42,24,24.1,1.76,1.74,TRUE,FALSE,3.219
2015-20-7-10:6:44,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:6:45,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:6:46,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:6:48,24,24.1,1.77,1.71,TRUE,FALSE,3.219
2015-20-7-10:6:49,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:6:51,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:6:52,24,24.1,1.77,1.71,TRUE,FALSE,3.219
2015-20-7-10:6:53,24,24.1,1.77,1.71,TRUE,FALSE,3.219
2015-20-7-10:6:55,24,24.1,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:6:56,24,24.1,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:6:58,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:6:59,24,24.1,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:7:0,24,24.1,1.76,1.71,TRUE,FALSE,3.219
2015-20-7-10:7:2,24,24.1,1.76,1.71,TRUE,FALSE,3.219
2015-20-7-10:7:3,24,24.1,1.76,1.72,TRUE,FALSE,3.219
2015-20-7-10:7:5,24,24.1,1.77,1.71,TRUE,FALSE,3.219
2015-20-7-10:7:6,24,24.1,1.76,1.72,TRUE,FALSE,3.219
2015-20-7-10:7:7,24,24.1,1.76,1.7,TRUE,FALSE,3.219
2015-20-7-10:7:9,24,24.1,1.76,1.7,TRUE,FALSE,3.219
2015-20-7-10:7:10,24,24.1,1.77,1.7,TRUE,FALSE,3.219
2015-20-7-10:7:12,24,24.1,1.76,1.7,TRUE,FALSE,3.219
2015-20-7-10:7:13,24,24.1,1.77,1.7,TRUE,FALSE,3.219
2015-20-7-10:7:14,24,24.1,1.76,1.7,TRUE,FALSE,3.219
2015-20-7-10:7:16,24,24.1,1.76,1.7,TRUE,FALSE,3.219
2015-20-7-10:7:17,24,24.1,1.76,1.7,TRUE,FALSE,3.219
2015-20-7-10:7:19,24,24.1,1.77,1.7,TRUE,FALSE,3.219
2015-20-7-10:7:20,24,24.1,1.77,1.71,TRUE,FALSE,3.219
2015-20-7-10:7:21,24,24.1,1.77,1.72,TRUE,FALSE,3.219
